python train.py --epochs 300
--- Training miap_max_ranking_L3_H129 on cuda ---
Loading dataset_train into memory...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4427/4427 [00:06<00:00, 642.59it/s]
Loading dataset_val into memory...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 886/886 [00:01<00:00, 832.15it/s]
/home/schterben/miniconda3/envs/miap_gasse/lib/python3.10/site-packages/torch_geometric/utils/_scatter.py:91: UserWarning: The usage of `scatter(reduce='max')` can be accelerated via the 'torch-scatter' package, but it was not found
  warnings.warn(
Ep 49 | T_Loss: 0.0639 T_Acc@1: 0.1280 T_Acc@5: 0.5152 | V_Loss: 0.0641 V_Acc@1: 0.1264 V_Acc@5: 0.4937 | LR: 1.0e-03
Ep 50 | T_Loss: 0.0637 T_Acc@1: 0.1294 T_Acc@5: 0.5148 | V_Loss: 0.0644 V_Acc@1: 0.1269 V_Acc@5: 0.5045 | LR: 1.0e-03
Ep 51 | T_Loss: 0.0640 T_Acc@1: 0.1259 T_Acc@5: 0.5132 | V_Loss: 0.0661 V_Acc@1: 0.1104 V_Acc@5: 0.4656 | LR: 1.0e-03
Ep 52 | T_Loss: 0.0641 T_Acc@1: 0.1277 T_Acc@5: 0.5136 | V_Loss: 0.0649 V_Acc@1: 0.1195 V_Acc@5: 0.4940 | LR: 1.0e-03
Ep 53 | T_Loss: 0.0636 T_Acc@1: 0.1290 T_Acc@5: 0.5117 | V_Loss: 0.0634 V_Acc@1: 0.1264 V_Acc@5: 0.5080 | LR: 1.0e-03
Ep 54 | T_Loss: 0.0636 T_Acc@1: 0.1275 T_Acc@5: 0.5183 | V_Loss: 0.0633 V_Acc@1: 0.1262 V_Acc@5: 0.5160 | LR: 1.0e-03
Ep 55 | T_Loss: 0.0633 T_Acc@1: 0.1409 T_Acc@5: 0.5158 | V_Loss: 0.0629 V_Acc@1: 0.1309 V_Acc@5: 0.5112 | LR: 1.0e-03
Ep 56 | T_Loss: 0.0632 T_Acc@1: 0.1335 T_Acc@5: 0.5191 | V_Loss: 0.0660 V_Acc@1: 0.1238 V_Acc@5: 0.5080 | LR: 1.0e-03
Ep 57 | T_Loss: 0.0639 T_Acc@1: 0.1277 T_Acc@5: 0.5129 | V_Loss: 0.0646 V_Acc@1: 0.1233 V_Acc@5: 0.5024 | LR: 1.0e-03
Ep 58 | T_Loss: 0.0631 T_Acc@1: 0.1311 T_Acc@5: 0.5203 | V_Loss: 0.0632 V_Acc@1: 0.1307 V_Acc@5: 0.5051 | LR: 1.0e-03
